beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,3,2850,sqft,4200,sqft,98119,1175000
4,5,3040,sqft,5002,sqft,98106,1057500
3,1,1290,sqft,6048,sqft,98125,799000
3,2,2360,sqft,0.28,acre,98188,565000
3,3.5,1942,sqft,1603,sqft,98107,1187000
2,2,963,sqft,4753,sqft,98122,701000
1,1,756,sqft,,,98105,480000
4,6,3300,sqft,5810,sqft,98199,1795000
4,2,2060,sqft,4206,sqft,98144,1025000
1,1,672,sqft,,,98122,450000
3,2.5,1760,sqft,3630,sqft,98122,1135000
1,1.5,924,sqft,,,98121,568000
3,2,2500,sqft,5000,sqft,98136,648000
2,2,1800,sqft,0.72,acre,98199,699950
1,1,574,sqft,,,98104,429950
2,2,2241,sqft,1.09,acre,98112,2450000
3,1.5,2320,sqft,4000,sqft,98109,1275000
2,2,1415,sqft,,,98125,449000
3,1.5,1750,sqft,2460,sqft,98102,925000
3,3,2340,sqft,6640,sqft,98126,974898
4,2,1690,sqft,0.32,acre,98168,550000
3,2.5,2320,sqft,3500,sqft,98103,1175000
2,1,1760,sqft,5000,sqft,98116,700000
1,1,685,sqft,,,98121,570000
2,2,946,sqft,3250,sqft,98103,690000
3,2,1610,sqft,3060,sqft,98146,540000
3,1,1390,sqft,3774,sqft,98105,450000
2,1,1620,sqft,6600,sqft,98178,487639
4,2.5,2010,sqft,6000,sqft,98136,982000
2,1.5,890,sqft,2875,sqft,98146,510000
2,2,964,sqft,3.97,acre,98126,512500
2,1,980,sqft,2226,sqft,98144,598000
4,4,3310,sqft,4313,sqft,98116,1215000
2,1,840,sqft,4263,sqft,98146,485000
2,2,1878,sqft,,,98115,515000
3,2,1910,sqft,2000,sqft,98109,1090000
2,1,900,sqft,4066,sqft,98133,474000
3,2,2210,sqft,7200,sqft,98118,1425000
3,2.5,2168,sqft,,,98119,1700000
3,2,2760,sqft,4800,sqft,98105,1235000
2,2.5,2760,sqft,3.06,acre,98105,1440000
2,2.5,1291,sqft,793,sqft,98144,680000
7,6,3780,sqft,5020,sqft,98119,1210000
4,3,2190,sqft,4000,sqft,98112,1685000
4,3.5,4027,sqft,0.3,acre,98199,2170000
4,2.5,3410,sqft,9602,sqft,98125,1700000
5,2,2470,sqft,3880,sqft,98107,905000
3,2,1850,sqft,3880,sqft,98117,890000
4,3,2430,sqft,5160,sqft,98106,995000
2,2,1395,sqft,797,sqft,98199,751849
2,1.5,1290,sqft,5100,sqft,98117,869000
4,1,1485,sqft,6050,sqft,98178,500000
1,1,718,sqft,0.65,acre,98115,525000
3,2.5,2220,sqft,8353,sqft,98177,1350000
2,2,899,sqft,,,98103,587000
2,1,785,sqft,,,98102,470000
3,3,2225,sqft,,,98101,2850000
3,2,1648,sqft,6250,sqft,98126,765000
5,3,1840,sqft,5415,sqft,98115,650000
3,2.5,1785,sqft,1500,sqft,98144,850000
3,1.5,1520,sqft,9405,sqft,98136,1200000
3,1.5,1460,sqft,0.25,acre,98168,410000
2,2,1656,sqft,,,98115,642000
3,1.5,1690,sqft,4226,sqft,98105,625000
4,2.5,3200,sqft,0.28,acre,98118,1100000
2,2,1030,sqft,4507,sqft,98112,825000
3,2.5,1220,sqft,1095,sqft,98109,900000
3,2,1330,sqft,2875,sqft,98126,705000
2,1,877,sqft,4.06,acre,98146,350000
2,2,1254,sqft,,,98121,1069000
4,3,3160,sqft,4830,sqft,98116,1425000
3,2,1305,sqft,4400,sqft,98118,714000
3,2,2798,sqft,3667,sqft,98109,1185000
4,2,2100,sqft,4799,sqft,98199,1000000
3,2.5,1620,sqft,5000,sqft,98117,885000
1,1,801,sqft,0.54,acre,98102,499995
5,2,2180,sqft,4000,sqft,98144,927500
2,2,1025,sqft,,,98126,470000
3,2.5,1830,sqft,1929,sqft,98116,1150000
3,2.5,1800,sqft,2380,sqft,98126,715000
3,2,2470,sqft,4192,sqft,98105,705000
2,1,2090,sqft,3290,sqft,98103,820000
1,1,661,sqft,8255,sqft,98102,415000
5,5,2440,sqft,0.36,acre,98115,1505000
3,1.5,1770,sqft,0.52,acre,98168,539000
3,2.5,1540,sqft,1189,sqft,98107,756000
5,4,3510,sqft,5400,sqft,98199,1735000
5,3,2480,sqft,5300,sqft,98126,845000
4,2.5,1690,sqft,6000,sqft,98108,399950
9,6,6139,sqft,5750,sqft,98116,2800000
5,4,4770,sqft,9000,sqft,98115,1140000
2,2,1353,sqft,,,98115,749000
3,1.5,1190,sqft,4800,sqft,98108,197009
5,3.5,4280,sqft,4000,sqft,98102,2300000
1,1,810,sqft,7500,sqft,98108,385000
3,2,1540,sqft,3755,sqft,98108,632500
3,2.5,1660,sqft,8450,sqft,98146,695000
3,2,1640,sqft,4320,sqft,98136,907500
2,1,1600,sqft,3750,sqft,98117,852500
4,2,1300,sqft,6240,sqft,98146,589950
2,2,1192,sqft,583,sqft,98117,674800
2,1,720,sqft,4000,sqft,98106,540000
2,2,1171,sqft,,,98103,685000
3,2.5,1390,sqft,1242,sqft,98125,569995
4,1.5,2260,sqft,0.27,acre,98125,678000
2,1,585,sqft,0.31,acre,98107,430000
4,2.5,1333,sqft,1.22,acre,98118,476000
4,1,1530,sqft,7810,sqft,98126,565000
2,1,1720,sqft,3175,sqft,98144,619000
1,1,591,sqft,,,98121,405000
2,1,839,sqft,0.25,acre,98199,449000
2,2,886,sqft,1037,sqft,98116,640000
1,1,872,sqft,,,98107,550000
4,3.5,2780,sqft,3060,sqft,98146,900000
3,3.5,1770,sqft,1669,sqft,98107,1025000
4,2.5,3096,sqft,9375,sqft,98177,1870000
2,1,1750,sqft,3200,sqft,98103,840000
5,3,3110,sqft,0.24,acre,98177,2800000
1,1,608,sqft,0.57,acre,98103,360000
2,2,866,sqft,,,98122,543000
3,2,1710,sqft,6179,sqft,98117,1015000
3,2,1250,sqft,1306,sqft,98107,750000
4,2,3195,sqft,5434,sqft,98199,1490000
7,3.5,3550,sqft,7680,sqft,98199,1850000
3,1.5,2800,sqft,3876,sqft,98103,1000000
7,7,3580,sqft,5500,sqft,98105,1850000
3,3.5,1650,sqft,1701,sqft,98107,1050000
1,1,610,sqft,,,98119,340000
4,2,2950,sqft,3417,sqft,98199,1200000
4,3,2480,sqft,5000,sqft,98105,1950000
3,2,1600,sqft,6845,sqft,98125,500000
1,1,662,sqft,,,98101,685000
4,2.5,2660,sqft,5300,sqft,98122,1745000
4,3,2960,sqft,8645,sqft,98178,875000
3,2.5,2060,sqft,1142,sqft,98103,1170000
3,3,1860,sqft,3060,sqft,98119,1260000
3,1.5,1833,sqft,2114,sqft,98122,985000
3,2,1404,sqft,9974,sqft,98146,449000
3,3,1540,sqft,993,sqft,98122,900000
1,1,772,sqft,,,98121,439000
4,1,2169,sqft,0.23,acre,98118,867000
3,2,1840,sqft,5100,sqft,98136,851000
3,4,2080,sqft,8777,sqft,98133,2250000
4,3.5,3738,sqft,4000,sqft,98102,3480000
1,1,610,sqft,6150,sqft,98126,425000
5,2.5,2786,sqft,6760,sqft,98125,900000
3,1,1950,sqft,7686,sqft,98177,562500
3,1,1580,sqft,3880,sqft,98103,704950
2,1.5,900,sqft,,,98133,455000
3,2.5,1757,sqft,1873,sqft,98103,1155000
2,2.5,2349,sqft,3200,sqft,98122,1775000
1,1,506,sqft,,,98121,396000
2,2.5,3030,sqft,5381,sqft,98199,2600000
4,3.5,3760,sqft,4720,sqft,98116,2200000
2,2,840,sqft,1400,sqft,98116,645000
1,1,588,sqft,0.37,acre,98103,335000
4,2.5,3480,sqft,5043,sqft,98103,2150000
2,1.5,1065,sqft,1138,sqft,98117,850000
2,1.5,917,sqft,5000,sqft,98103,625000
1,1,603,sqft,,,98121,450000
1,1,704,sqft,,,98133,278000
2,2.5,2140,sqft,983,sqft,98109,835000
2,1.5,1059,sqft,4001,sqft,98106,499000
3,2,1500,sqft,4500,sqft,98107,905000
2,2,1271,sqft,,,98107,725000
1,1,862,sqft,,,98104,430000
2,1,1660,sqft,6380,sqft,98115,822000
3,2.5,1360,sqft,1001,sqft,98144,719950
2,2,1345,sqft,,,98119,700000
4,3.5,3500,sqft,4080,sqft,98115,1720000
2,1,1070,sqft,7620,sqft,98106,520000
4,5.5,2867,sqft,4550,sqft,98122,1650000
4,2.5,2230,sqft,5878,sqft,98115,1475000
2,1.5,900,sqft,,,98133,549755
3,1.5,1892,sqft,1.08,acre,98112,692500
2,2,921,sqft,,,98121,675000
4,3,2580,sqft,7200,sqft,98118,1025000
3,2.5,2720,sqft,4609,sqft,98103,1450000
3,3,2290,sqft,3000,sqft,98103,1108000
3,2.5,2750,sqft,3750,sqft,98103,1300000
3,1,1100,sqft,6000,sqft,98108,505000
5,5,2260,sqft,6175,sqft,98115,2100000
4,3.5,2970,sqft,5323,sqft,98199,2334500
4,2,1840,sqft,7335,sqft,98108,640000
4,3,3510,sqft,8268,sqft,98122,1550000
2,2,916,sqft,,,98109,545000
2,2,1162,sqft,,,98102,730000
